SECTOR_CODE,CD_NUMBER,CD_DATE,INBOUND_TYPE,ITEM_NUMBER,HS_CODE,QUANTITY,UNIT_PRICE,AMOUNT_USD,CURRENCY_CODE
PCS,020320071037115735,11/07/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,9000,3.9333,35399.7,USD
PCS,020320071037115743,11/07/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,6000,3.9333,23599.8,USD
PCS,020320071037110102,11/14/2007 00:00:00,NORMAL IMPORT 0615,SYN2162A,8517629900,7000,9.3,65100,USD
PCS,020320071037110145,11/21/2007 00:00:00,NORMAL IMPORT 0615,SYN1311C,8517629900,88,16.93,1489.84,USD
PCS,020320071037110145,11/21/2007 00:00:00,NORMAL IMPORT 0615,SYN1311C,8517629900,3100,16.93,52483,USD
PCS,020320071037110146,11/21/2007 00:00:00,NORMAL IMPORT 0615,SYN2162A,8517629900,8500,9.3,79050,USD
PCS,020820071087160711,11/22/2007 00:00:00,NORMAL IMPORT 0615,SYN1971B,8517629900,4200,10.62,44604,USD
PCS,010120071017239268,11/16/2007 00:00:00,NORMAL IMPORT 0615,SYN1902A,8517629900,200,33.144,6628.8,USD
PCS,020820071087161697,11/28/2007 00:00:00,NORMAL IMPORT 0615,SYN1971B,8517629900,4000,10.62,42480,USD
PCS,020320071037120831,11/19/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,9000,3.9333,35399.7,USD
PCS,020320071037120832,11/19/2007 00:00:00,NORMAL IMPORT 0615,SYN2168B,8517629900,5600,21.396,119817.6,USD
PCS,010120071017223129,11/26/2007 00:00:00,NORMAL IMPORT 0615,SYN2434B,8517629900,500,18.72,9360,USD
PCS,020320071037109581,12/03/2007 00:00:00,NORMAL IMPORT 0615,SYN1854B,8517629900,15000,14.2484,213726,USD
PCS,020320071037125352,10/25/2007 00:00:00,NORMAL IMPORT 0615,SYN1711A,8517629900,100,36.96,3696,USD
PCS,020320071037125352,10/25/2007 00:00:00,NORMAL IMPORT 0615,SYN1711A,8517629900,80,36.96,2956.8,USD
PCS,020320071037110145,11/21/2007 00:00:00,NORMAL IMPORT 0615,SYN1311C,8517629900,12,16.93,203.16,USD
PCS,020820071087164368,12/04/2007 00:00:00,NORMAL IMPORT 0615,SYN2007C,8517629900,200,9.28,1856,USD
PCS,020820071087164367,12/04/2007 00:00:00,NORMAL IMPORT 0615,SYN1685C,8517629900,1000,9.43,9430,USD
PCS,020320071037109751,12/06/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,6000,3.9333,23599.8,USD
PCS,020820071087163670,12/09/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,24000,2.1507,51616.8,USD
PCS,020320071037113505,12/07/2007 00:00:00,NORMAL IMPORT 0615,SYN2126A,8517629900,500,35.87,17935,USD
PCS,020820071087163780,12/11/2007 00:00:00,NORMAL IMPORT 0615,SYN1902A,8517629900,360,24.63,8866.8,USD
PCS,020820071087163780,12/11/2007 00:00:00,NORMAL IMPORT 0615,SYN1902A,8517629900,140,24.63,3448.2,USD
PCS,020820071087164747,12/11/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,180,9.23,1661.4,USD
PCS,020320071037112882,12/13/2007 00:00:00,NORMAL IMPORT 0615,SYN1902A,8517629900,2500,33.144,82860,USD
PCS,020320071037112987,12/17/2007 00:00:00,NORMAL IMPORT 0615,SYN1976A,8517629900,576,18.8988,10885.7088,USD
PCS,020320071037112986,12/17/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,9000,3.9333,35399.7,USD
